gene_id	gene_name	SRX24195018	SRX24195019	SRX24195020	SRX24195021	SRX24195022	SRX24195023	SRX24195024	SRX24195025	SRX24195026	SRX24195027	SRX24195028	SRX24195029	SRX24195030	SRX24195031	SRX24195032	SRX24195033	SRX24195034	SRX24195035	SRX24195036	SRX24195037	SRX24195038	SRX24195039	SRX24195040	SRX24195041
A1BG	A1BG	94.2795	96	81.6961	75.5414	96.7131	76	72.3154	86.6416	59.6252	33	96	113.287	82.8062	126.105	89.3844	81.658	92.8049	90.1419	69.7066	70.6498	160.038	86	95.6692	178.175
A1BG-AS1	A1BG-AS1	65.4433	95.8654	43.98	78.9218	56.5684	48.0128	46.3687	59.6284	44.0716	25.3867	40.5893	72.8179	67.5232	66.1981	48.9154	52.3249	66.0153	44.5145	35.6473	46.9488	93.1655	61.505	58.2854	56.9221
A1CF	A1CF	2.12435	4.41808	1.11383	5.23572	4.39967	5.67785	5.72027	7.629	4.28552	7.73582	1.05393	2.0180341440182	6.85612	1.18343	4.31934	1.0000914254094	3.0006540560401	2.0251577103674	4.0009124038074	3.41143	3.02194	1.014819101021	1.10928	0
A2M	A2M	1	1	1	1	1	0	0	0	2	1	2	0	1	3	0	0	2	1	1	0	1	0	0	0
A2M-AS1	A2M-AS1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0
A2ML1	A2ML1	3.01812	3.09121	2.00858	2.01164	3.0154	1.01434	1.02981	1.00662	1.02311	2.01418	5.03516	4.05655	1.04877	4.03045	2.20779	1.00526	4.014526	1.0053	3.01255	2.01441	1.0044	2.00882	4.03621	2.02241
A2MP1	A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
A3GALT2	A3GALT2	1	1	0	0	1	1	0	0	1	2	0	0	0	0	0	1	0	0	1	0	2	0	0	0
A4GALT	A4GALT	56.99996	104.9999	11	2.0000000176467	63.99998	62.99998	63.00001	75.00002	54.99996	27.00004	25.99997	5	106.000029132401	0	46.00001	5	2	45.00002	82.00001	91.999999	7	11.0000000191488	9.0000000131505	1
A4GNT	A4GNT	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	AAAS	1569.9997679	2023.0009	1397.9957	1705.9995	1725.999	1648.99813308684	1574.002	1605.000324554	1332.9971	954.9999	1322.9987	2047.0034	1788.0041	1780.9951	1450.0048	1357.9995	1640.0015	1295.00180110582	1255.00072618611	1427.00180001457	1658.9948	1738.0033	1562.9961	1565.0017
